Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,,
2020-01-01,1997.6015625,2167.60009765625,2183.89990234375,2154.0,2168.0,1354908
2020-01-02,1988.431884765625,2157.64990234375,2179.949951171875,2149.199951171875,2179.949951171875,2380752
2020-01-03,2028.059326171875,2200.64990234375,2223.0,2164.0,2164.0,4655761
2020-01-06,2027.8751220703125,2200.449951171875,2225.949951171875,2187.89990234375,2205.0,3023209
2020-01-07,2032.8514404296875,2205.85009765625,2214.64990234375,2183.800048828125,2200.5,2429317
2020-01-08,2078.377197265625,2255.25,2260.0,2202.050048828125,2205.0,5197454
2020-01-09,2040.6849365234375,2214.35009765625,2251.949951171875,2210.0,2248.75,3734173
2020-01-10,2039.9478759765625,2213.550048828125,2234.0,2208.0,2228.0,1915807
2020-01-13,2018.5675048828125,2190.35009765625,2218.949951171875,2184.699951171875,2217.85009765625,2843893
2020-01-14,2033.8189697265625,2206.89990234375,2229.800048828125,2195.0,2195.0,2948452
2020-01-15,2052.25048828125,2226.89990234375,2231.0,2194.199951171875,2213.0,2620681
2020-01-16,2063.217529296875,2238.800048828125,2249.0,2215.0,2226.949951171875,3117214
2020-01-17,2045.062744140625,2219.10009765625,2253.550048828125,2213.0,2240.75,3281059
2020-01-20,2000.1358642578125,2170.35009765625,2242.199951171875,2156.199951171875,2194.89990234375,5817599
2020-01-21,2000.7813720703125,2171.050048828125,2186.550048828125,2158.050048828125,2169.949951171875,1902980
2020-01-22,2033.8189697265625,2206.89990234375,2210.0,2173.699951171875,2181.0,1773686
2020-01-23,2023.7049560546875,2190.949951171875,2217.75,2183.699951171875,2209.800048828125,2069866
2020-01-24,2016.7313232421875,2183.39990234375,2190.949951171875,2170.0,2190.949951171875,1319430
2020-01-27,2003.6614990234375,2169.25,2193.449951171875,2165.0,2189.699951171875,1549101
2020-01-28,2017.0550537109375,2183.75,2187.800048828125,2152.0,2174.0,1743024
2020-01-29,1990.1300048828125,2154.60009765625,2186.949951171875,2150.0,2185.0,2306761
2020-01-30,1974.65869140625,2137.85009765625,2165.0,2125.0,2160.0,2098567
2020-01-31,1920.3470458984375,2079.050048828125,2144.35009765625,2071.60009765625,2139.39990234375,3287223
2020-02-03,1942.0069580078125,2102.5,2194.699951171875,2093.199951171875,2152.0,4728073
2020-02-04,1946.8563232421875,2107.75,2136.699951171875,2086.60009765625,2129.0,3509339
2020-02-05,1982.6942138671875,2146.550048828125,2156.699951171875,2104.300048828125,2115.0,2439322
2020-02-06,1965.8837890625,2128.35009765625,2174.199951171875,2115.5,2145.0,2640065
2020-02-07,1973.4578857421875,2136.550048828125,2151.0,2119.0,2139.0,2083442
2020-02-10,1996.919189453125,2161.949951171875,2167.0,2119.0,2140.89990234375,2383032
2020-02-11,1989.021240234375,2153.39990234375,2174.800048828125,2147.60009765625,2163.0,1335820
2020-02-12,2005.04736328125,2170.75,2185.0,2150.0,2151.10009765625,1620407
2020-02-13,2024.62841796875,2191.949951171875,2197.0,2171.0,2172.949951171875,1645948
2020-02-14,2017.4705810546875,2184.199951171875,2212.0,2171.0,2188.0,1500115
2020-02-17,2035.06640625,2203.25,2217.0,2190.199951171875,2196.949951171875,1774724
2020-02-18,2046.612060546875,2215.75,2221.0,2186.050048828125,2199.949951171875,2486223
2020-02-19,2028.6934814453125,2196.35009765625,2230.0,2190.5,2215.75,1760463
2020-02-20,1992.162109375,2156.800048828125,2214.39990234375,2151.25,2204.5,2317278
2020-02-24,1953.8760986328125,2115.35009765625,2178.949951171875,2106.699951171875,2156.0,3092877
2020-02-25,1991.5618896484375,2156.14990234375,2176.64990234375,2111.0,2115.5,2674567
2020-02-26,1961.49658203125,2123.60009765625,2163.89990234375,2112.949951171875,2154.0,2686842
2020-02-27,1944.77783203125,2105.5,2119.949951171875,2086.199951171875,2119.949951171875,2349001
2020-02-28,1847.469970703125,2000.1500244140625,2069.5,1990.0,2068.0,4298076
2020-03-02,1848.5321044921875,2001.300048828125,2053.949951171875,1985.699951171875,2035.0,2667076
2020-03-03,1880.767822265625,2036.199951171875,2060.0,2012.0,2020.0,2757585
2020-03-04,1924.1802978515625,2083.199951171875,2094.449951171875,2025.0,2056.0,3237002
2020-03-05,1962.8360595703125,2125.050048828125,2147.75,2084.050048828125,2085.699951171875,3937056
2020-03-06,1954.892333984375,2116.449951171875,2123.64990234375,2071.60009765625,2098.0,2595027
2020-03-09,1821.7916259765625,1972.3499755859375,2079.89990234375,1935.0,2075.0,4940975
2020-03-11,1804.5654296875,1953.699951171875,1987.300048828125,1920.0,1933.0,6796449
2020-03-12,1634.74951171875,1769.8499755859375,1908.4000244140625,1758.3499755859375,1904.0,8728786
2020-03-13,1668.41748046875,1806.300048828125,1820.0,1506.050048828125,1687.9000244140625,8029720
2020-03-16,1566.90625,1696.4000244140625,1842.25,1675.8499755859375,1755.0,7844271
2020-03-17,1531.437744140625,1658.0,1731.0,1623.1500244140625,1730.0,5713248
2020-03-18,1528.1123046875,1654.4000244140625,1713.550048828125,1627.75,1676.800048828125,7258778
2020-03-19,1522.4833984375,1636.3499755859375,1685.449951171875,1546.75,1559.699951171875,5135111
2020-03-20,1672.373046875,1797.449951171875,1869.0,1627.0,1630.0,8547498
2020-03-23,1553.512451171875,1669.699951171875,1750.0,1617.75,1620.0,7003490
2020-03-24,1584.6351318359375,1703.1500244140625,1770.0,1632.8499755859375,1653.050048828125,6350865
2020-03-25,1628.504150390625,1750.300048828125,1810.0,1680.0,1700.0,2765520
2020-03-26,1666.325439453125,1790.949951171875,1832.050048828125,1722.550048828125,1831.5999755859375,4556067
2020-03-27,1697.540771484375,1824.5,1850.0,1750.4000244140625,1820.0,4331250
2020-03-30,1654.7415771484375,1778.5,1905.0,1763.550048828125,1766.0,8513547
2020-03-31,1699.0296630859375,1826.0999755859375,1855.0,1780.0,1837.4000244140625,3927593
2020-04-01,1589.84521484375,1708.75,1834.75,1702.0,1825.9000244140625,4941878
2020-04-03,1539.0911865234375,1654.199951171875,1740.0,1650.0,1740.0,5735369
2020-04-07,1651.6710205078125,1775.199951171875,1785.8499755859375,1705.0,1710.0,5427577
2020-04-08,1586.77490234375,1705.449951171875,1806.0,1701.0,1760.0,6285615
2020-04-09,1643.251220703125,1766.1500244140625,1778.800048828125,1731.199951171875,1750.449951171875,5307397
2020-04-13,1636.831298828125,1759.25,1787.0,1746.0,1761.0,2990438
2020-04-15,1614.408203125,1735.1500244140625,1812.0,1727.800048828125,1785.0,4761399
2020-04-16,1596.637451171875,1716.050048828125,1764.9000244140625,1675.050048828125,1709.949951171875,6245533
2020-04-17,1680.514404296875,1806.199951171875,1851.949951171875,1753.0,1800.0,9895823
2020-04-20,1692.0980224609375,1818.6500244140625,1830.0,1802.5,1830.0,3244282
2020-04-21,1616.7344970703125,1737.6500244140625,1794.5999755859375,1727.699951171875,1765.0,5122541
2020-04-22,1646.3681640625,1769.5,1790.0,1719.1500244140625,1737.6500244140625,3829836
2020-04-23,1747.550537109375,1878.25,1900.0,1760.8499755859375,1780.0,5934366
2020-04-24,1692.0052490234375,1818.550048828125,1851.949951171875,1807.800048828125,1840.699951171875,2987102
2020-04-27,1708.7989501953125,1836.5999755859375,1875.0,1825.0,1832.300048828125,3374741
2020-04-28,1729.6866455078125,1859.050048828125,1868.0,1832.5999755859375,1865.0,2678505
2020-04-29,1773.0439453125,1905.6500244140625,1912.550048828125,1850.050048828125,1874.0,4241510
2020-04-30,1874.2728271484375,2014.449951171875,2032.0,1942.199951171875,1980.0,5915544
2020-05-04,1796.1181640625,1930.449951171875,1966.0,1913.6500244140625,1966.0,3729348
2020-05-05,1798.2581787109375,1932.75,1977.0,1927.0,1955.0999755859375,2905528
2020-05-06,1771.1365966796875,1903.5999755859375,1953.699951171875,1893.5999755859375,1939.800048828125,3517431
2020-05-07,1760.01806640625,1891.6500244140625,1934.449951171875,1883.3499755859375,1910.0,3166754
2020-05-08,1761.646484375,1893.4000244140625,1939.5,1886.25,1939.0999755859375,2686530
2020-05-11,1800.630859375,1935.300048828125,1951.4000244140625,1909.0,1909.0,2449841
2020-05-12,1813.8427734375,1949.5,1956.5,1910.25,1933.4000244140625,3256595
2020-05-13,1813.982177734375,1949.6500244140625,1994.0,1925.6500244140625,1994.0,2656665
2020-05-14,1769.9736328125,1902.3499755859375,1923.0999755859375,1891.0999755859375,1910.0,2263146
2020-05-15,1761.18115234375,1892.9000244140625,1917.4000244140625,1865.199951171875,1916.0,3173682
2020-05-18,1810.2139892578125,1945.5999755859375,1952.949951171875,1872.0999755859375,1907.0,3727694
2020-05-19,1813.0517578125,1948.6500244140625,1966.449951171875,1903.0,1903.0,3198693
2020-05-20,1817.6572265625,1953.5999755859375,1962.9000244140625,1931.699951171875,1950.0,2778505
2020-05-21,1852.640869140625,1991.199951171875,1998.0,1941.1500244140625,1946.0,3400908
2020-05-22,1879.762451171875,2020.3499755859375,2032.0,1961.25,1977.0999755859375,3663418
2020-05-26,1807.7952880859375,1943.0,2024.0,1925.0,2015.0,4575317
2020-05-27,1865.759765625,2005.300048828125,2010.0,1941.25,1959.0,3482160
2020-05-28,1864.8292236328125,2004.300048828125,2014.0,1971.300048828125,1988.5,3475681
